lang,family,branch
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Greek,Indo-European,Greek
Italian,Indo-European,Italic
Lithuanian,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Hungarian,Uralic,Uralic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
French,Indo-European,Italic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Setswana,Niger-Congo,Niger-Congo
Polish,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Spanish,Indo-European,Italic
Czech,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Slovene,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Afrikaans,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Spanish,Indo-European,Italic
Slovene,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Greek,Indo-European,Greek
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
Zulu,Niger-Congo,Niger-Congo
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Greek,Indo-European,Greek
Italian,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
French,Indo-European,Italic
Portuguese,Indo-European,Italic
Arabic,Indo-European,Balto-Slavic
Italian,Indo-European,Italic
Afrikaans,Indo-European,Germanic
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Italian,Indo-European,Italic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Portuguese,Indo-European,Italic
Xhosa,Niger-Congo,Niger-Congo
Dutch,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Northern Sotho,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Swahilli,Niger-Congo,Niger-Congo
Venda,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Northern Sotho,Niger-Congo,Niger-Congo
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
Northern Sotho,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
Polish,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Hungarian,Uralic,Uralic
Northern Sotho,Niger-Congo,Niger-Congo
Ukrainian,Indo-European,Balto-Slavic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Setswana,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Italian,Indo-European,Italic
Portuguese,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Romanian,Indo-European,Italic
Venda,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
Bengali,Indo-European,Indo-Iranian
Portuguese,Indo-European,Italic
Portuguese,Indo-European,Italic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Northern Sotho,Niger-Congo,Niger-Congo
Zulu,Niger-Congo,Niger-Congo
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Spanish,Indo-European,Italic
English,Indo-European,Germanic
Dutch,Indo-European,Germanic
Spanish,Indo-European,Italic
Polish,Indo-European,Balto-Slavic
Portuguese,Indo-European,Italic
French,Indo-European,Italic
Greek,Indo-European,Greek
English,Indo-European,Germanic
Hungarian,Uralic,Uralic
Italian,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Catalan,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Polish,Indo-European,Balto-Slavic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Northern Sotho,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
German,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
French,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
Portuguese,Indo-European,Italic
English,Indo-European,Germanic
English,Indo-European,Germanic
Afrikaans,Indo-European,Germanic
English,Indo-European,Germanic
Afrikaans,Indo-European,Germanic
Afrikaans,Indo-European,Germanic
English,Indo-European,Germanic
Xhosa,Niger-Congo,Niger-Congo
Bemba,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Italian,Indo-European,Italic
Zulu,Niger-Congo,Niger-Congo
Northern Sotho,Niger-Congo,Niger-Congo
Venda,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Yue Chinese,Sino-Tibetan,Yue Chinese
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
German,Indo-European,Germanic
English,Indo-European,Germanic
Dutch,Indo-European,Germanic
English,Indo-European,Germanic
Setswana,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Shona,Niger-Congo,Niger-Congo
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
Birwa,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
Xhosa,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Afrikaans,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Northern Sotho,Niger-Congo,Niger-Congo
Setswana,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Setswana,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
English,Indo-European,Germanic
Zulu,Niger-Congo,Niger-Congo
English,Indo-European,Germanic
English,Indo-European,Germanic
French,Indo-European,Italic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
German,Indo-European,Germanic
German,Indo-European,Germanic
French,Indo-European,Italic
French,Indo-European,Italic
Bulgarian,Indo-European,Balto-Slavic
English,Indo-European,Germanic
French,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
German,Indo-European,Germanic
Russian,Indo-European,Balto-Slavic
Afrikaans,Indo-European,Germanic
French,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
French,Indo-European,Italic
Russian,Indo-European,Balto-Slavic
Serbian/Croatian,Indo-European,Balto-Slavic
French,Indo-European,Italic
Southern Sotho,Niger-Congo,Niger-Congo
Swedish,Indo-European,Germanic
Southern Sotho,Niger-Congo,Niger-Congo
Dutch,Indo-European,Germanic
German,Indo-European,Germanic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
Italian,Indo-European,Italic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Japanese,Japonic,Japonic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
Italian,Indo-European,Italic
German,Indo-European,Germanic
French,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Spanish,Indo-European,Italic
Italian,Indo-European,Italic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
French,Indo-European,Italic
French,Indo-European,Italic
English,Indo-European,Germanic
Italian,Indo-European,Italic
Spanish,Indo-European,Italic
Zulu,Niger-Congo,Niger-Congo
Zulu,Niger-Congo,Niger-Congo
French,Indo-European,Italic
Northern Sotho,Niger-Congo,Niger-Congo
Southern Sotho,Niger-Congo,Niger-Congo
Zulu,Niger-Congo,Niger-Congo
French,Indo-European,Italic
Spanish,Indo-European,Italic
English,Indo-European,Germanic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
English,Indo-European,Germanic
Setswana,Niger-Congo,Niger-Congo
Russian,Indo-European,Balto-Slavic
Northern Sotho,Niger-Congo,Niger-Congo
Dutch,Indo-European,Germanic
Tsonga,Niger-Congo,Niger-Congo
Xhosa,Niger-Congo,Niger-Congo
Setswana,Niger-Congo,Niger-Congo
Spanish,Indo-European,Italic
Zulu,Niger-Congo,Niger-Congo
Setswana,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
Zulu,Niger-Congo,Niger-Congo
Northern Sotho,Niger-Congo,Niger-Congo
Xhosa,Niger-Congo,Niger-Congo
Southern Sotho,Niger-Congo,Niger-Congo
Sicilian,Indo-European,Italic
French,Indo-European,Italic
German,Indo-European,Germanic
Setswana,Niger-Congo,Niger-Congo
Spanish,Indo-European,Italic
Hungarian,Uralic,Uralic
Spanish,Indo-European,Italic
Portuguese,Indo-European,Italic
Russian,Indo-European,Balto-Slavic
Tsonga,Niger-Congo,Niger-Congo
Yue Chinese,Sino-Tibetan,Yue Chinese
French,Indo-European,Italic
Spanish,Indo-European,Italic
Italian,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Swedish,Indo-European,Germanic
Dutch,Indo-European,Germanic
Japanese,Japonic,Japonic
French,Indo-European,Italic
French,Indo-European,Italic
German,Indo-European,Germanic
French,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
Xhosa,Niger-Congo,Niger-Congo
French,Indo-European,Italic
Russian,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Russian,Indo-European,Balto-Slavic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
German,Indo-European,Germanic
Spanish,Indo-European,Italic
Spanish,Indo-European,Italic
French,Indo-European,Italic
Southern Sotho,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
Spanish,Indo-European,Italic
Setswana,Niger-Congo,Niger-Congo
French,Indo-European,Italic
Xhosa,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
Afrikaans,Indo-European,Germanic
Northern Sotho,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
Southern Sotho,Niger-Congo,Niger-Congo
Setswana,Niger-Congo,Niger-Congo
Northern Sotho,Niger-Congo,Niger-Congo
French,Indo-European,Italic
Setswana,Niger-Congo,Niger-Congo
Swati,Niger-Congo,Niger-Congo
Setswana,Niger-Congo,Niger-Congo
Afrikaans,Indo-European,Germanic
Spanish,Indo-European,Italic
Italian,Indo-European,Italic
Birwa,Niger-Congo,Niger-Congo
Turkish,Turkic,Turkic
Zulu,Niger-Congo,Niger-Congo
Japanese,Japonic,Japonic
French,Indo-European,Italic
French,Indo-European,Italic
