Timestamp,ID partecipante,Età,Sesso,Luogo attuale di residenza: Città,Luogo attuale di residenza: Stato,Livello massimo di formazione,"Quale lingua considera come la sua LINGUA PRINCIPALE? (La lingua con la quale si sente più a suo agio). Nelle prossime domande faremo riferimento a questa lingua come la sua ""L1"".","Quale lingua considera come la sua SECONDA LINGUA? Nelle prossime domande faremo riferimento a questa lingua come la sua ""L2"".","Quale lingua considera come la sua TERZA LINGUA? Nelle prossime domande faremo riferimento a questa lingua come la sua ""L3"".","Quale lingua considera come la sua QUARTA LINGUA? Nelle prossime domande faremo riferimento a questa lingua come la sua ""L4"".",Parla altre lingue?,1. A quanti anni iniziò ad imparare le seguenti lingue?  [La sua L1],1. A quanti anni iniziò ad imparare le seguenti lingue?  [La sua L2],1. A quanti anni iniziò ad imparare le seguenti lingue?  [La sua L3],1. A quanti anni iniziò ad imparare le seguenti lingue?  [La sua L4],2. A quanti anni iniziò a sentirsi a proprio agio usando le seguenti lingue?  [La sua L1],2. A quanti anni iniziò a sentirsi a proprio agio usando le seguenti lingue?  [La sua L2],2. A quanti anni iniziò a sentirsi a proprio agio usando le seguenti lingue?  [La sua L3],2. A quanti anni iniziò a sentirsi a proprio agio usando le seguenti lingue?  [La sua L4],"3. Per quanti anni ha ricevuto un’ istruzione (grammatica, storia, matematica, etc..) nelle seguenti lingue (a partire dalla scuola primaria fino all’università)?  [La sua L1]","3. Per quanti anni ha ricevuto un’ istruzione (grammatica, storia, matematica, etc..) nelle seguenti lingue (a partire dalla scuola primaria fino all’università)?  [La sua L2]","3. Per quanti anni ha ricevuto un’ istruzione (grammatica, storia, matematica, etc..) nelle seguenti lingue (a partire dalla scuola primaria fino all’università)?  [La sua L3]","3. Per quanti anni ha ricevuto un’ istruzione (grammatica, storia, matematica, etc..) nelle seguenti lingue (a partire dalla scuola primaria fino all’università)?  [La sua L4]",4. Quanti anni ha passato in un Paese/regione in cui si parlano le seguenti lingue?  [La sua L1],4. Quanti anni ha passato in un Paese/regione in cui si parlano le seguenti lingue?  [La sua L2],4. Quanti anni ha passato in un Paese/regione in cui si parlano le seguenti lingue?  [La sua L3],4. Quanti anni ha passato in un Paese/regione in cui si parlano le seguenti lingue?  [La sua L4],5. Quanti anni ha trascorso in famiglia parlando le seguenti lingue?  [La sua L1],5. Quanti anni ha trascorso in famiglia parlando le seguenti lingue?  [La sua L2],5. Quanti anni ha trascorso in famiglia parlando le seguenti lingue?  [La sua L3],5. Quanti anni ha trascorso in famiglia parlando le seguenti lingue?  [La sua L4],6. Quanti anni ha trascorso in un ambiente di lavoro in cui si parlano le seguenti lingue?  [La sua L1],6. Quanti anni ha trascorso in un ambiente di lavoro in cui si parlano le seguenti lingue?  [La sua L2],6. Quanti anni ha trascorso in un ambiente di lavoro in cui si parlano le seguenti lingue?  [La sua L3],6. Quanti anni ha trascorso in un ambiente di lavoro in cui si parlano le seguenti lingue?  [La sua L4],"7. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con i suoi amici?  [La sua L1]","7. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con i suoi amici?  [La sua L2]","7. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con i suoi amici?  [La sua L3]","7. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con i suoi amici?  [La sua L4]","8. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con la sua famiglia?  [La sua L1]","8. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con la sua famiglia?  [La sua L2]","8. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con la sua famiglia?  [La sua L3]","8. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue con la sua famiglia?  [La sua L4]","9. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue a scuola/al lavoro?  [La sua L1]","9. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue a scuola/al lavoro?  [La sua L2]","9. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue a scuola/al lavoro?  [La sua L3]","9. In una settimana normale, in che percentuale (di tempo) fa uso delle seguenti lingue a scuola/al lavoro?  [La sua L4]","10. Quando parla con se stesso, con quale frequenza parla a se stesso nelle seguenti lingue?  [La sua L1]","10. Quando parla con se stesso, con quale frequenza parla a se stesso nelle seguenti lingue?  [La sua L2]","10. Quando parla con se stesso, con quale frequenza parla a se stesso nelle seguenti lingue?  [La sua L3]","10. Quando parla con se stesso, con quale frequenza parla a se stesso nelle seguenti lingue?  [La sua L4]","11. Quando fa calcoli contando, con quale frequenza conta nelle seguenti lingue?  [La sua L1]","11. Quando fa calcoli contando, con quale frequenza conta nelle seguenti lingue?  [La sua L2]","11. Quando fa calcoli contando, con quale frequenza conta nelle seguenti lingue?  [La sua L3]","11. Quando fa calcoli contando, con quale frequenza conta nelle seguenti lingue?  [La sua L4]",Come parla la tua L1?,Come parla la sua L2?,Come parla la sua L3?,Come parla la sua L4?,Capisce la sua L1?,Capisce la tua L2?,Capisce la tua L3?,Capisce la tua L4?,Come legge nella tua L1?,Come legge nella tua L2?,Come legge nella tua L3?,Come legge nella tua L4?,Come scrive nella tua L1?,Come scrive nella tua L2?,Come scrive nella tua L3?,Come scrive nella tua L4?,Mi sento “me stesso” quando parlo la mia L1.,Mi sento “me stesso” quando parlo la mia L2.,Mi sento “me stesso” quando parlo la mia L3.,Mi sento “me stesso” quando parlo la mia L4.,Mi identifico con una cultura che parla la mia L1.,Mi identifico con una cultura che parla la mia L2.,Mi identifico con una cultura che parla la mia L3.,Mi identifico con una cultura che parla la mia L4. ,Per me è importante raggiungere un livello nativo e usare ad un livello nativo la mia L1.,Per me è importante raggiungere un livello nativo e usare ad un livello nativo la mia L2.,Per me è importante raggiungere un livello nativo e usare ad un livello nativo la mia L3.,Per me è importante raggiungere un livello nativo e usare ad un livello nativo la mia L4.,Voglio che gli altri pensino che io sia un madrelingua di L1.,Voglio che gli altri pensino che io sia un madrelingua di L2.,Voglio che gli altri pensino che io sia un madrelingua di L3.,Voglio che gli altri pensino che io sia un madrelingua di L4.,"Se legge questa frase, selezioni '2' per favore.",Luogo attuale di residenza: Città
29/03/2023 10:01:51,1,27,Uomo,Trieste,Italia,Master (primo livello - secondo livello),Italiano,Inglese,Francese,Tedesco,No,Dalla nascita,6,10,20+,Da quando ne ho ricordo,18,Ancora no,Ancora no,20+,5,0,0,20+,1,0,0,20+,0,0,0,20+,5,0,0,60%,40%,0%,0%,100%,0%,0%,0%,50%,50%,0%,0%,90%,10%,0%,0%,100%,0%,0%,0%,6,4,0,0,6,5,1,0,6,5,0,0,6,5,0,0,6,6,0,0,6,2,0,0,6,6,2,2,6,6,3,2,2,
29/03/2023 15:38:26,2,27,Uomo,Trieste,Italia,Università (triennale - magistrale),Italiano,Inglese,No,No,No,1,5,Non so questa lingua,Non so questa lingua,Da quando ne ho ricordo,8,Non so questa lingua,Non so questa lingua,18,15,0,0,20+,0,0,0,20+,10,0,0,3,3,0,0,80%,20%,0%,0%,90%,10%,0%,0%,70%,30%,0%,0%,100%,10%,0%,0%,100%,10%,0%,0%,6,4,0,0,6,5,0,0,6,5,0,0,6,3,0,0,6,3,0,0,6,3,0,0,6,4,0,0,6,5,0,0,2,
30/03/2023 14:54:27,3,26,Uomo,Carpi,Italia,Dottorato,Italiano,Inglese,Francese,Dialetto locale della regione di Zhejang,Poco cinese mandarino,4,6,20+,Dalla nascita,4,13,20+,4,17,3,0,0,20+,0,1,3,20+,0,0,20+,3,3,0,0,60%,30%,10%,0%,20%,0%,0%,80%,50%,50%,0%,0%,90%,10%,0%,0%,90%,10%,0%,0%,6,5,4,2,6,5,5,3,6,5,5,0,6,5,3,0,6,6,6,4,6,2,3,3,6,5,4,4,6,6,6,6,2,
31/03/2023 15:09:58,4,24,Uomo,Trieste,Italia,Master (primo livello - secondo livello),Italiano,Inglese,No,No,No,Dalla nascita,6,Non so questa lingua,Non so questa lingua,Da quando ne ho ricordo,16,Non so questa lingua,Non so questa lingua,18,10,0,0,20+,0,0,0,20+,0,0,0,20+,1,0,0,60%,40%,0%,0%,100%,0%,0%,0%,50%,50%,0%,0%,90%,10%,0%,0%,80%,20%,0%,0%,6,4,0,0,6,5,0,0,6,5,0,0,5,4,0,0,6,4,0,0,6,3,0,0,6,6,0,0,6,3,0,0,0,
01/04/2023 15:22:41,5,25,Uomo,Padova,Italia,Università (triennale - magistrale),Italiana,Polacco,Inglese,Tedesco,no,Dalla nascita,Dalla nascita,5,11,Da quando ne ho ricordo,Da quando ne ho ricordo,12,13,18,18,20+,10,20+,20+,0,0,20+,20+,0,0,20+,1,2,2,80%,0%,20%,0%,60%,30%,10%,0%,40%,30%,20%,10%,50%,20%,20%,10%,60%,30%,10%,0%,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,4,6,5,5,2,6,6,6,4,6,6,6,4,2,
01/04/2023 15:43:44,6,20,Donna,Bitonto ,Italia,Università (triennale - magistrale),Italiano,Inglese,Spagnolo,Francese,Russo,Dalla nascita,4,9,14,Da quando ne ho ricordo,6,13,16,20+,16,11,5,20+,0,0,0,20+,0,0,0,1,0,0,0,70%,30%,0%,0%,100%,0%,0%,0%,30%,50%,20%,0%,100%,0%,0%,0%,100%,0%,0%,0%,6,5,3,2,6,5,4,2,6,5,4,2,6,4,3,2,6,5,2,1,6,2,2,0,6,6,4,3,6,6,3,2,2,
01/04/2023 16:56:56,7,26,Uomo,Teolo ,Italia,Università (triennale - magistrale),Italiano,Inglese,No,No,No,Dalla nascita,6,Non so questa lingua,Non so questa lingua,Da quando ne ho ricordo,Ancora no,Non so questa lingua,Non so questa lingua,13,0,0,0,20+,0,0,0,20+,0,0,0,6,0,0,0,100%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,6,1,0,0,6,1,0,0,6,1,0,0,6,1,0,0,6,0,0,0,6,0,0,0,4,4,0,0,6,0,0,0,2,
20/04/2023 15:16:45,8,28,Donna,Trieste,Italia,Dottorato,Italiano,Inglese,Spagnolo,Nessuna,No,Dalla nascita,6,20+,Non so questa lingua,Da quando ne ho ricordo,15,15,Non so questa lingua,20+,7,0,0,20+,0,0,0,20+,0,0,0,20+,1,0,0,50%,50%,0%,0%,100%,0%,0%,0%,10%,90%,0%,0%,80%,20%,0%,0%,90%,10%,0%,0%,6,4,2,0,6,5,4,0,6,6,4,0,6,5,1,0,6,5,5,0,6,6,4,0,6,6,4,0,6,6,4,0,2,
26/04/2023 10:20:51,9,38,Uomo,Udine,Italia,Dottorato,Italiano,Inglese,Nessuna,Nessuna,No,Dalla nascita,11,Non so questa lingua,Non so questa lingua,Da quando ne ho ricordo,18,Non so questa lingua,Non so questa lingua,20+,20+,0,0,20+,0,0,0,20+,0,0,0,20+,12,0,0,100%,0%,0%,0%,100%,0%,0%,0%,80%,20%,0%,0%,100%,10%,0%,0%,100%,0%,0%,0%,6,5,0,0,6,4,0,0,6,5,0,0,6,5,0,0,6,4,0,0,6,1,0,0,6,5,0,0,6,2,0,0,0,
27/04/2023 15:42:24,10,27,Donna,Trieste,Italia,Università (triennale - magistrale),Italiano,Inglese,Nessuna,Nessuna,No,Dalla nascita,6,Non so questa lingua,Non so questa lingua,Da quando ne ho ricordo,17,Non so questa lingua,Non so questa lingua,5,6,0,0,20+,2,0,0,20+,1,0,0,5,3,0,0,70%,30%,0%,0%,100%,0%,0%,0%,50%,50%,0%,0%,80%,20%,0%,0%,100%,0%,0%,0%,6,5,0,0,6,6,0,0,6,6,0,0,6,5,0,0,6,5,0,0,6,5,0,0,6,6,0,0,5,3,0,0,2,Trieste
03/05/2023 12:54:59,11,30,Donna,San Martino Canavese,Italia,Università (triennale - magistrale),italiano,inglese,portoghese,francese,no,Dalla nascita,8,20+,12,Da quando ne ho ricordo,20+,20+,Ancora no,18,2,0,0,20+,1,0,0,20+,0,0,0,4,4,0,0,90%,10%,0%,0%,100%,0%,0%,0%,50%,50%,0%,0%,100%,0%,0%,0%,100%,0%,0%,0%,6,4,2,1,6,4,2,1,6,6,2,1,6,4,1,1,6,4,2,1,6,5,1,1,6,6,1,0,6,6,1,0,2,San Martino Canavese
03/05/2023 17:27:03,12,24,Uomo,Roma,Italia,Master (primo livello - secondo livello),Italiano,Inglese,Francese,Nessuna,No,Dalla nascita,10,20+,Non so questa lingua,Da quando ne ho ricordo,15,Ancora no,Non so questa lingua,20+,12,1,0,20+,0,1,0,20+,0,0,0,3,3,0,0,80%,20%,0%,0%,100%,0%,0%,0%,60%,40%,0%,0%,90%,10%,0%,0%,20%,80%,0%,0%,6,5,2,0,6,6,3,0,6,5,3,0,6,5,2,0,6,4,1,0,6,2,1,0,6,6,3,0,6,4,1,0,2,
04/05/2023 14:27:25,13,24,Uomo,Trieste,Italia,Master (primo livello - secondo livello),Italiano,Inglese,Spagnolo,Francese,no,Dalla nascita,5,17,11,4,14,17,20+,16,2,0,3,20+,0,0,1,20+,0,0,0,20+,3,0,1,70%,30%,0%,0%,100%,0%,0%,0%,40%,60%,0%,0%,70%,10%,10%,10%,70%,30%,0%,0%,6,6,4,4,6,6,5,5,6,6,5,5,6,6,4,3,6,6,6,6,6,0,4,2,6,4,4,4,6,3,3,3,5,
04/05/2023 15:26:19,14,26,Uomo,Massa,Italia,Università (triennale - magistrale),Italiano,Inglese,Spagnolo,Latino,No,Dalla nascita,4,11,14,Da quando ne ho ricordo,14,13,17,20+,20+,3,5,20+,0,0,0,20+,0,0,0,20+,1,0,0,80%,20%,0%,0%,100%,0%,0%,0%,70%,30%,0%,0%,90%,10%,0%,0%,90%,10%,0%,0%,6,4,2,1,6,5,3,1,6,4,4,5,6,4,2,0,6,3,3,0,6,1,1,2,6,5,2,0,6,4,1,0,2,
04/05/2023 16:11:41,15,42,Uomo,Trieste,Italia,Dottorato,Italiano,Inglese,Spagnolo,nan,no,5,2,Dalla nascita,Non so questa lingua,Da quando ne ho ricordo,Da quando ne ho ricordo,Da quando ne ho ricordo,Non so questa lingua,12,6,1,0,20+,20+,2,0,20+,0,10,0,3,10,0,0,90%,10%,0%,0%,80%,20%,0%,0%,80%,20%,0%,0%,50%,50%,0%,0%,50%,50%,0%,0%,6,6,4,0,6,6,5,0,6,6,5,0,6,6,3,0,6,5,4,0,6,4,4,0,6,6,4,0,6,6,5,0,2,